#;Flight From;Flight To;Airlines;Flight No;Flight Time;Arrival Time;Remarks
0;Kathmandu;Pokhara;Yeti Airlines;YT 671;08:00:00;08:25:00;Book Now
1;Kathmandu;Pokhara;Yeti Airlines;YT 673;08:05:00;08:30:00;Book Now
2;Kathmandu;Pokhara;Buddha Air;U4 605;08:30:00;09:00:00;Book Now
3;Kathmandu;Pokhara;Yeti Airlines;YT 675;09:10:00;09:35:00;Book Now
4;Kathmandu;Pokhara;Buddha Air;U4 611;10:10:00;10:40:00;Book Now
5;Kathmandu;Pokhara;Yeti Airlines;YT 677;10:50:00;11:15:00;Book Now
6;Kathmandu;Pokhara;Buddha Air;U4 607;12:10:00;12:40:00;Book Now
7;Kathmandu;Pokhara;Yeti Airlines;YT 679;12:30:00;12:55:00;Book Now
8;Kathmandu;Pokhara;Buddha Air;U4 609;14:20:00;14:50:00;Book Now
9;Kathmandu;Pokhara;Yeti Airlines;YT 683;14:50:00;15:15:00;Book Now
10;Kathmandu;Pokhara;Yeti Airlines;YT 685;15:40:00;16:05:00;Book Now
11;Pokhara;Kathmandu;Yeti Airlines;YT 672;08:45:00;09:10:00;Book Now
12;Pokhara;Kathmandu;Yeti Airlines;YT 674;08:50:00;09:15:00;Book Now
13;Pokhara;Kathmandu;Buddha Air;U4 606;09:20:00;09:50:00;Book Now
14;Pokhara;Kathmandu;Yeti Airlines;YT 676;09:50:00;10:15:00;Book Now
15;Pokhara;Kathmandu;Buddha Air;U4 612;11:00:00;11:30:00;Book Now
16;Pokhara;Kathmandu;Yeti Airlines;YT 678;11:35:00;12:00:00;Book Now
17;Pokhara;Kathmandu;Buddha Air;U4 608;13:00:00;13:30:00;Book Now
18;Pokhara;Kathmandu;Yeti Airlines;YT 680;13:15:00;13:40:00;Book Now
19;Pokhara;Kathmandu;Buddha Air;U4 610;15:10:00;15:40:00;Book Now
20;Pokhara;Kathmandu;Yeti Airlines;YT 684;15:35:00;16:00:00;Book Now
21;Pokhara;Kathmandu;Yeti Airlines;YT 686;16:25:00;16:50:00;Book Now
22;Kathmandu;Bhairahawa;Yeti Airlines;175;11:50:00;12:10:00;Book Now
23;Bhairahawa;Kathmandu;Yeti Airlines;176;12:30:00;12:50:00;Book Now
24;Kathmandu;Dhangadhi;Yeti Airlines;231;12:30:00;13:40:00;Book Now
25;Dhangadhi;Kathmandu;Yeti Airlines;232;14:00:00;15:10:00;Book Now
26;Kathmandu;Mountain Flight;Yeti Airlines;301;06:30:00;07:30:00;Book Now
27;Kathmandu;Mountain Flight;Yeti Airlines;302;06:30:00;07:30:00;Book Now
28;Kathmandu;Mountain Flight;Yeti Airlines;304;06:30:00;07:30:00;Book Now
29;Kathmandu;Mountain Flight;Yeti Airlines;305;06:35:00;07:35:00;Book Now
30;Kathmandu;Mountain Flight;Yeti Airlines;306;06:40:00;07:40:00;Book Now
31;Kathmandu;Mountain Flight;Yeti Airlines;307;06:45:00;07:45:00;Book Now
32;Kathmandu;Mountain Flight;Yeti Airlines;401;07:45:00;08:45:00;Book Now
33;Kathmandu;Nepalgunj;Yeti Airlines;421;09:20:00;10:15:00;Book Now
34;Nepalgunj;Kathmandu;Yeti Airlines;422;10:35:00;11:30:00;Book Now
35;Kathmandu;Nepalgunj;Yeti Airlines;423;15:50:00;16:45:00;Book Now
36;Nepalgunj;Kathmandu;Yeti Airlines;424;17:05:00;18:00:00;Book Now
37;Kathmandu;Janakpur;Yeti Airlines;571;10:30:00;10:55:00;Book Now
38;Janakpur;Kathmandu;Yeti Airlines;572;11:15:00;11:40:00;Book Now
39;Kathmandu;Janakpur;Yeti Airlines;573;15:40:00;16:05:00;Book Now
40;Janakpur;Kathmandu;Yeti Airlines;574;16:35:00;17:00:00;Book Now
41;Kathmandu;Pokhara;Yeti Airlines;681;14:10:00;14:35:00;Book Now
42;Pokhara;Kathmandu;Yeti Airlines;682;14:55:00;15:20:00;Book Now
43;Kathmandu;Biratnagar;Yeti Airlines;787;09:00:00;09:40:00;Book Now
44;Biratnagar;Kathmandu;Yeti Airlines;788;10:00:00;10:40:00;Book Now
45;Kathmandu;Biratnagar;Yeti Airlines;791;12:00:00;12:40:00;Book Now
46;Biratnagar;Kathmandu;Yeti Airlines;792;13:00:00;13:40:00;Book Now
47;Kathmandu;Biratnagar;Yeti Airlines;793;14:30:00;15:10:00;Book Now
48;Biratnagar;Kathmandu;Yeti Airlines;794;15:30:00;16:10:00;Book Now
49;Kathmandu;Biratnagar;Yeti Airlines;797;16:40:00;17:20:00;Book Now
50;Biratnagar;Kathmandu;Yeti Airlines;798;17:40:00;18:20:00;Book Now
51;Kathmandu;Bhairahawa;Yeti Airlines;891;09:20:00;09:50:00;Book Now
52;Bhairahawa;Kathmandu;Yeti Airlines;892;10:10:00;10:40:00;Book Now
53;Kathmandu;Bhairahawa;Yeti Airlines;893;16:30:00;17:00:00;Book Now
54;Bhairahawa;Kathmandu;Yeti Airlines;894;17:20:00;17:50:00;Book Now
55;Kathmandu;Bhadrapur;Yeti Airlines;921;10:10:00;10:55:00;Book Now
56;Bhadrapur;Kathmandu;Yeti Airlines;922;11:15:00;12:00:00;Book Now
57;Kathmandu;Bhadrapur;Yeti Airlines;925;13:50:00;14:35:00;Book Now
58;Bhadrapur;Kathmandu;Yeti Airlines;926;14:55:00;15:40:00;Book Now
59;Kathmandu;Tumlingtar;Yeti Airlines;751;11:10:00;11:45:00;Book Now
60;Tumlingtar;Kathmandu;Yeti Airlines;752;12:05:00;12:40:00;Book Now
61;Kathmandu;Mountain Flight;Buddha Air;U4 102;06:15:00;07:15:00;Book Now
62;Kathmandu;Mountain Flight;Buddha Air;U4 104;06:15:00;07:15:00;Book Now
63;Kathmandu;Mountain Flight;Buddha Air;U4 100;06:15:00;07:15:00;Book Now
64;Kathmandu;Mountain Flight;Buddha Air;U4 201;07:15:00;08:15:00;Book Now
65;Kathmandu;Mountain Flight;Buddha Air;U4 202;07:15:00;08:15:00;Book Now
66;Kathmandu;Mountain Flight;Buddha Air;U4 203;07:15:00;08:15:00;Book Now
67;Kathmandu;Mountain Flight;Yeti Airlines;U4 204;08:00:00;09:00:00;Book Now
