;Flight_From;Flight_To;Airlines;Duration
0;Kathmandu;Pokhara;Yeti Airlines;25.0
1;Kathmandu;Pokhara;Yeti Airlines;25.0
2;Kathmandu;Pokhara;Buddha Air;30.0
3;Kathmandu;Pokhara;Yeti Airlines;25.0
4;Kathmandu;Pokhara;Buddha Air;30.0
5;Kathmandu;Pokhara;Yeti Airlines;25.0
6;Kathmandu;Pokhara;Buddha Air;30.0
7;Kathmandu;Pokhara;Yeti Airlines;25.0
8;Kathmandu;Pokhara;Buddha Air;30.0
9;Kathmandu;Pokhara;Yeti Airlines;25.0
10;Kathmandu;Pokhara;Yeti Airlines;25.0
11;Pokhara;Kathmandu;Yeti Airlines;25.0
12;Pokhara;Kathmandu;Yeti Airlines;25.0
13;Pokhara;Kathmandu;Buddha Air;30.0
14;Pokhara;Kathmandu;Yeti Airlines;25.0
15;Pokhara;Kathmandu;Buddha Air;30.0
16;Pokhara;Kathmandu;Yeti Airlines;25.0
17;Pokhara;Kathmandu;Buddha Air;30.0
18;Pokhara;Kathmandu;Yeti Airlines;25.0
19;Pokhara;Kathmandu;Buddha Air;30.0
20;Pokhara;Kathmandu;Yeti Airlines;25.0
21;Pokhara;Kathmandu;Yeti Airlines;25.0
22;Kathmandu;Bhairahawa;Yeti Airlines;20.0
23;Bhairahawa;Kathmandu;Yeti Airlines;20.0
24;Kathmandu;Dhangadhi;Yeti Airlines;70.0
25;Dhangadhi;Kathmandu;Yeti Airlines;70.0
26;Kathmandu;Mountain Flight;Yeti Airlines;60.0
27;Kathmandu;Mountain Flight;Yeti Airlines;60.0
28;Kathmandu;Mountain Flight;Yeti Airlines;60.0
29;Kathmandu;Mountain Flight;Yeti Airlines;60.0
30;Kathmandu;Mountain Flight;Yeti Airlines;60.0
31;Kathmandu;Mountain Flight;Yeti Airlines;60.0
32;Kathmandu;Mountain Flight;Yeti Airlines;60.0
33;Kathmandu;Nepalgunj;Yeti Airlines;55.0
34;Nepalgunj;Kathmandu;Yeti Airlines;55.0
35;Kathmandu;Nepalgunj;Yeti Airlines;55.0
36;Nepalgunj;Kathmandu;Yeti Airlines;55.0
37;Kathmandu;Janakpur;Yeti Airlines;25.0
38;Janakpur;Kathmandu;Yeti Airlines;25.0
39;Kathmandu;Janakpur;Yeti Airlines;25.0
40;Janakpur;Kathmandu;Yeti Airlines;25.0
41;Kathmandu;Pokhara;Yeti Airlines;25.0
42;Pokhara;Kathmandu;Yeti Airlines;25.0
43;Kathmandu;Biratnagar;Yeti Airlines;40.0
44;Biratnagar;Kathmandu;Yeti Airlines;40.0
45;Kathmandu;Biratnagar;Yeti Airlines;40.0
46;Biratnagar;Kathmandu;Yeti Airlines;40.0
47;Kathmandu;Biratnagar;Yeti Airlines;40.0
48;Biratnagar;Kathmandu;Yeti Airlines;40.0
49;Kathmandu;Biratnagar;Yeti Airlines;40.0
50;Biratnagar;Kathmandu;Yeti Airlines;40.0
51;Kathmandu;Bhairahawa;Yeti Airlines;30.0
52;Bhairahawa;Kathmandu;Yeti Airlines;30.0
53;Kathmandu;Bhairahawa;Yeti Airlines;30.0
54;Bhairahawa;Kathmandu;Yeti Airlines;30.0
55;Kathmandu;Bhadrapur;Yeti Airlines;45.0
56;Bhadrapur;Kathmandu;Yeti Airlines;45.0
57;Kathmandu;Bhadrapur;Yeti Airlines;45.0
58;Bhadrapur;Kathmandu;Yeti Airlines;45.0
59;Kathmandu;Tumlingtar;Yeti Airlines;35.0
60;Tumlingtar;Kathmandu;Yeti Airlines;35.0
61;Kathmandu;Mountain Flight;Buddha Air;60.0
62;Kathmandu;Mountain Flight;Buddha Air;60.0
63;Kathmandu;Mountain Flight;Buddha Air;60.0
64;Kathmandu;Mountain Flight;Buddha Air;60.0
65;Kathmandu;Mountain Flight;Buddha Air;60.0
66;Kathmandu;Mountain Flight;Buddha Air;60.0
67;Kathmandu;Mountain Flight;Yeti Airlines;60.0
68;Kathmandu;Bhadrapur;Buddha Air;50.0
69;Kathmandu;Bhadrapur;Buddha Air;50.0
70;Kathmandu;Bhairahawa;Buddha Air;35.0
71;Kathmandu;Bhairahawa;Buddha Air;35.0
72;Kathmandu;Bhairahawa;Buddha Air;35.0
73;Kathmandu;Bharatpur;Buddha Air;20.0
74;Kathmandu;Bharatpur;Buddha Air;20.0
75;Kathmandu;Biratnagar;Buddha Air;40.0
76;Kathmandu;Biratnagar;Buddha Air;40.0
77;Kathmandu;Biratnagar;Buddha Air;40.0
78;Kathmandu;Biratnagar;Buddha Air;40.0
79;Kathmandu;Biratnagar;Buddha Air;40.0
80;Kathmandu;Biratnagar;Buddha Air;40.0
81;Kathmandu;Dhangadi;Buddha Air;70.0
82;Kathmandu;Janakpur;Buddha Air;25.0
83;Kathmandu;Janakpur;Buddha Air;25.0
84;Kathmandu;Nepalgunj;Buddha Air;60.0
85;Kathmandu;Nepalgunj;Buddha Air;60.0
86;Kathmandu;Pokhara;Yeti Airlines;30.0
87;Kathmandu;Pokhara;Buddha Air;30.0
88;Kathmandu;Pokhara;Buddha Air;30.0
89;Kathmandu;Simara;Buddha Air;15.0
90;Kathmandu;Simara;Buddha Air;15.0
91;Kathmandu;Simara;Buddha Air;15.0
92;Kathmandu;Simara;Buddha Air;15.0
93;Kathmandu;Simara;Buddha Air;15.0
94;Kathmandu;Simara;Buddha Air;15.0
95;Kathmandu;Surkhet;Buddha Air;65.0
96;Kathmandu;Tumlingtar;Buddha Air;35.0
97;Bhadrapur;Kathmandu;Buddha Air;50.0
98;Bhadrapur;Kathmandu;Buddha Air;50.0
99;Bhairahawa;Kathmandu;Buddha Air;35.0
100;Bhairahawa;Kathmandu;Buddha Air;35.0
101;Bhairahawa;Kathmandu;Buddha Air;35.0
102;Bharatpur;Kathmandu;Buddha Air;20.0
